date,open,high,low,close,volume
2025-06-13,598.5,601.85,595.48,597,89506000
2025-06-16,600.4,604.45,600.22,602.68,79984130
2025-06-17,600.21,601.75,596.76,597.53,82209370
2025-06-18,598.44,601.22,596.47,597.44,76605030
2025-06-20,598.38,599.46,592.86,594.28,94051370
2025-06-23,595.04,600.54,591.89,600.15,87426040
2025-06-24,604.33,607.8499,603.41,606.78,67735290
2025-06-25,607.91,608.61,605.54,607.12,62114770
2025-06-26,608.99,612.31,608.37,611.87,78548360
2025-06-27,612.88,616.39,610.83,614.91,86258400
2025-06-30,617.38,619.22,615.04,617.85,92502540
2025-07-01,616.36,618.83,615.52,617.65,70030140
2025-07-02,617.24,620.49,616.61,620.45,66510370
2025-07-03,622.45,626.28,622.43,625.34,51065790
2025-07-07,623.36,624.03,617.87,620.68,74814510
2025-07-08,621.35,622.11,619.52,620.34,59024590
2025-07-09,622.77,624.72,620.9105,624.06,66113330
2025-07-10,624.2,626.8701,623.01,625.82,57528960
2025-07-11,622.74,624.86,621.53,623.62,63670230
2025-07-14,623.16,625.1581,621.7999,624.81,51898520
2025-07-15,627.52,627.86,622.06,622.14,74317260
2025-07-16,623.74,624.73,618.05,624.22,88987510
2025-07-17,624.4,628.4048,624.18,628.04,68885680
2025-07-18,629.3,629.47,626.46,627.58,65621650
2025-07-21,628.77,631.54,628.34,628.77,63374980
2025-07-22,629.1,629.73,626.19,628.86,60046290
2025-07-23,631.55,634.21,629.73,634.21,70511040
2025-07-24,634.6,636.15,633.99,634.42,71307130
2025-07-25,635.09,637.5799,634.84,637.1,56865360
2025-07-28,637.48,638.04,635.54,636.94,54917100
2025-07-29,638.35,638.67,634.335,635.26,60556280
2025-07-30,635.92,637.68,631.54,634.46,80418850
2025-07-31,639.455,639.85,630.765,632.08,103385200
2025-08-01,626.3,626.34,619.29,621.72,140103600
2025-08-04,625.67,631.215,625.58,631.17,73218020
2025-08-05,631.79,632.6052,627.04,627.97,68051400
2025-08-06,629.05,633.44,628.13,632.78,64357530
2025-08-07,636.24,636.98,629.11,632.25,74205790
2025-08-08,634.06,637.645,633.74,637.18,64051630
2025-08-11,637.46,638.95,634.66,635.92,58742300
2025-08-12,638.29,642.85,636.79,642.69,64821800
2025-08-13,644.91,646.19,642.68,644.89,60092790
2025-08-14,642.79,645.62,642.34,644.95,59327470
2025-08-15,645.99,646.09,642.5153,643.44,68592510
2025-08-18,642.86,644,642.18,643.3,43804910
2025-08-19,643.12,644.105,638.48,639.81,69750730
